Certificado,Expediente,Empresa,CUIT,Teléfono,Mail,Domicilio legal,,,Domicilio real,,,Operador,Tecnología,Corrientes
O - 000001,EX 2018-00345266-GDEMZA-DPA#SAYOT ,HUMBERTO MORILLAS S.A.,30-71123596-1,4273027,produccion@alfaservice.com.ar; gabymorillas@gmail.com,Don Quijote de la Mancha 2657,Villa Hipódromo,Godoy Cruz,"Calle 3 s/n, Parque Industrial Provincial",Parque Industrial Provincial,Lujan de Cuyo, FIJO,"Decantación y Filtrado: Y8, Y9 e Y11, Acopio Transitorio: Y12, Macro Encapsulado: Y31 e Y36, Tratamiento Biológico Secundario, pileta API: Y18, Y34 e Y35, Lavado, Centrifugado y Secado: Y48. Combustible alternativo: Y48
","Y8, Y9, Y11, Y12, Y18, Y31, Y34, Y35, Y36 e Y48"
O - 000002,EX 2018-00360534-GDEMZA-DPA#SAYOT,LUBAR S.A.,30-65316669-5,4975554 - 155949493,lubarsa111@yahoo.com,Maza 185,General Gutierrez,Maipu,Maza 185,General Gutierrez,Maipu, FIJO,"Adsorción por contacto con tierras especificas / Decantación Estática y Centrifugación 
","Y8, Y9, R9"
O - 000004,EX 2018-03060141-GDEMZA-DPA#SAYOT ,SOIL KEEPER S.A.,30-68350853-1,2615861435,diegopalazzetti@gmail.com; info@soilkeeper.com.ar,Nicolás Amaya 560,General Gutierrez,Maipu,Cuyo 2057,Martinez,Buenos Aires,IN SITU,"Extracción de Fase Líquida y de Fase Gaseosa con Soluciones Degradantes (peróxido de hidrógeno y/o agua saturada con ozono), Solidificación y Estabilización, Biorremediación Enzimática, Biorremediación Bacteriana, Fitorremediación y Landfarming, Extracción de Vapores-SVE, Extracción de Fase Dual por Alto Vacío-DPVE y Extracción de Líquidos Contaminados y Separación de Hidrocarburos por Placas Coalescentes ",Y8 / Y9 / Y48
O - 000011,EX 2018-01113570-GDEMZA-DPA#SAYOT ,INTERGEO ARGENTINA S.A.,30-70395365-0,011-45537266,miriam.aguirre@intergeo.com; adriana.baldizzoni@intergeo.com,Callejón Lemos 552,Ciudad,Ciudad,Av. Triunvirato 2976,CABA,CABA,IN SITU,"Biorremediación, Extracción de fase doble en alto vacío y Bombeo y Tratamiento",Y8 / Y9 / Y11/Y48
O - 000014,EX 2018-00415360-GDEMZA-DPA#SAYOT ,ECOCHEM S.A.,33-70805056-9,2615905331,"comercializacion@ecochemsa.com; jorgehoraciozarate@gmail.com
",Los Reyunos 2469,Guaymallén ,Guaymallén ,"Ruta 3, km 4,5",San Luis,San Luis,IN SITU,"Declorinacion mediante Metodo Apeg (Y10 Altas Concentraciones), Declorinacion con Sodio Metalico (Y10 altas conc.hasta 5000 ppm), Landfarming (Y48 con Y8 e Y9).","Y10, Y8, Y9, Y48 "
O - 000017,EX 2020-03009517-GDEMZA-SAYOT  ,JMB INGENIERÍA AMBIENTAL S.A.,30-70446353-3,011-52383520,info@jmbambiental.com.ar,Montecaseros 1287,Ciudad,Ciudad,"A. Belgrano 258, 2º piso",CABA,CABA,IN SITU,"Separación centrífuga en dos y/o tres fases para lodos de petróleo, Incineración controlada de residuos contaminados con equipo transportable y Biorremediación mediante Biopilas","Y8, Y9, Y11, Y13, Y18 e Y48"
O - 000021,EX-2021-01320207- -GDEMZA-DPA#SAYOT y asociado EX 2018-00314215,COMBUSTIBLES ITALO ARGENTINO S.A. (ex POLIPETROL S.A.),30-71611995-1,2615898699,jbonet@wico.com.ar; romina.ramos@wico.com.ar; INFO@WICO.COM.AR,C° Santa Elena S/N,Perdriel,Lujan de Cuyo,C° Santa Elena S/N,Perdriel,Lujan de Cuyo,FIJO,Destilacion ,"Y8 , Y9, Y11"
O - 000039,EX-2021-01826926- -GDEMZA-DPA#SAYOT y asociado EX 2018-00183054-GDEMZA-DPA#SAYOT ,PECOM SERVICIOS MEDIOAMBIENTALES S.A.U. (ex SKANSKA SERVICIOS MEDIOAMBIENTALES S.A.),30-70985859-5,2994104417,carlo.montovio@pecomenergia.com.ar; alejandro.corvalan@pecomenergia.com.ar,"Ruta Provincial 87, KM 84, Parque Industrial Municipal",Perdriel ,Lujan de Cuyo,Carlos Pellegrini 1325,Neuquen,Neuquen,IN SITU,"Biorremediación de suelos contaminados, Tratamiento de separación de Fluidos Oleosos y Saneamiento de Suelos (Landfarming). Lavado de residuos metálicos ","Y8, Y9, Y48"
O - 000043,EX-2019-01179994- -GDEMZA-DPA#SAYOT y asociado EX 2018-00242091 (Expte. N° 1138/E/09/03834) y ,HOLCIM (ARGENTINA) SA,30-50111112-7,0261-5216472-0261-5216400-0261-5216499,mariaflorencia.lardone@holcim.com; agustina.martinelli@holcim.com; ignacio.rosa@holcim.com,Calle Seru 55,Ciudad de Mendoza,Ciudad de Mendoza,"Ruta Provincial 52-km 17,5",Capdeville,Las Heras,FIJO,Co-procesamiento,"Y8, Y9, Y11, Y12, Y18, Y35, Y48 "
O – 000048,EX-2019-01521947- -GDEMZA-DPA#SAYOT ,ECOMENDOZA SERVICIOS AMBIENTALES SA,33-71196520-9,2604-342179,ecomendozaserviciosam@gmail.com; chicho1690@hotmail.com,General Villegas (Este) 229 ,Ciudad de Malargue,Malargue,,,,IN SITU,Lavado de Suelos,Y8/Y9/Y48
